NJ,ProductName,NR,Red_berry,Dark_berry,Jam,Dried_fruit,Artificial_frui,Chocolate,Vanilla,Oak,Burned,Leather,Earthy,Spicy,Pepper,Grassy,Medicinal,Band-aid,Sour,Bitter,Alcohol,Astringent
1405,C_REFOSCO,8,5.3,0.5,0.4,0.4,5.4,0.3,0.2,4.4,0.2,2.6,0.2,5.3,0.5,0.5,0.4,0.5,3.3,1.4,1.3,2.2
1405,I__MERLOT,8,0.5,0.5,0.4,0.2,2.9,0.4,0.5,0.5,2.7,0.3,0.4,0.7,0.4,0.6,0.7,0.8,2.2,4.8,1,3.2
1405,I_SYRAH,8,5.6,1.2,0.3,0.2,0.3,0.4,0.5,4.8,0.3,2.5,0.3,5.4,0.4,0.3,0.2,1.6,8.7,0.3,0.4,2.5
1405,I_PRIMITIVO,8,0.3,6,5.7,0.5,0.5,3.6,0.2,0.3,0.4,0.6,2.3,0.5,1.9,5.2,0.3,0.4,2.2,2.1,2,1.7
1405,I_REFOSCO,8,2.5,1.1,0.8,0.5,0.5,0.7,0.6,0.6,1.7,2.3,0.5,0.3,0.4,0.5,7,0.9,2.2,2,1.2,2
1408,C_MERLOT,8,0.5,1.5,0.4,0.5,0.5,0.5,1.3,2.1,2,0.5,0.5,2.1,0.5,0.5,0.5,0.4,0.5,0.5,0.6,4.5
1408,C_SYRAH,8,0.6,1.6,0.5,0.5,0.4,1,4.4,1.4,2.7,1.4,0.5,1.2,0.4,0.5,0.5,0.5,0.5,0.5,1.3,4.7
1408,C_ZINFANDEL,8,2.6,2.6,0.5,1.4,0.5,0.5,0.5,1.4,0.5,0.5,0.4,0.5,0.5,0.9,0.5,0.5,0.8,0.7,0.9,4.7
1408,C_REFOSCO,8,0.5,1.9,0.5,0.6,0.6,0.5,3.6,1.7,3.1,1.1,0.5,1.8,0.6,0.6,0.6,0.5,1.3,1.3,0.6,3.7
1408,I__MERLOT,8,0.5,1.5,0.5,0.5,0.5,0.5,0.5,1.5,2.4,2.4,1.4,3.8,0.8,0.5,0.5,0.5,0.5,0.5,0.5,2.5
1408,I_SYRAH,8,1.6,8.7,1.6,0.5,0.4,0.5,0.5,1.5,0.5,0.4,0.5,0.6,0.4,0.9,0.5,0.4,0.8,0.8,0.4,3.4
1408,I_PRIMITIVO,8,8.7,2.1,2.3,0.4,2.4,0.6,0.5,1.3,0.5,0.5,0.5,0.5,0.5,0.9,0.4,0.4,0.5,1,0.6,2.4
1408,I_REFOSCO,8,0.5,1.6,0.5,0.5,0.5,0.5,0.6,1.5,3.1,2.3,0.5,4,1.1,0.5,1.2,0.6,1.2,1.1,0.7,4.3
1409,C_MERLOT,8,1.4,0,1.7,0.1,0.1,0.1,1.4,2.9,2.8,0,0.1,0.1,0.1,0.1,0,0,5.6,2.8,4.3,6.8
1409,C_SYRAH,8,0,0,0.1,0.1,0.1,1.8,3.2,2.9,5.8,0,0,0,0.1,0.1,0.1,0,1.6,1.7,4,5
1409,C_ZINFANDEL,8,0.1,6.5,0,0.1,0,0.1,2.7,5,0,0,0.1,0,0,0,0,0.1,5.6,1.5,5.1,1.5
1409,C_REFOSCO,8,0.1,0.1,0,0.1,0.1,1.9,1.9,4.1,6.4,0,0,0.1,0.1,0,0,0.1,6.3,2.3,4.5,3.4
1409,I__MERLOT,8,1.4,0.1,1.4,0.1,0.1,0.1,0,1.7,0.1,0.1,0.1,0,0.1,0.1,0.1,0.2,4.4,1.7,1.9,7.2
1409,I_SYRAH,8,0.1,9.6,0.1,0.1,0.1,0.1,0,1.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.5,3.1,5.3,6.2
1409,I_PRIMITIVO,8,1.8,3.2,1.6,0,1,0,0.1,6.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,5.1,0.9,5.1,5.7
1409,I_REFOSCO,8,0,0.1,0.1,0.1,0,0.1,0,1.5,0,0.1,0,0,0.1,0,6.2,4.8,6.7,2.6,5.1,5.8
